iter	AUC	Logloss
449	0.7924330334	0.2357110775
450	0.7924778599	0.2356885318
451	0.7924957202	0.235673265
452	0.7925200121	0.2356548678
453	0.7925366695	0.23563582
454	0.792580806	0.2356079329
455	0.7926248093	0.2355878111
456	0.7926541966	0.2355715147
457	0.7927028507	0.2355481158
458	0.7927543987	0.2355232836
459	0.7927970525	0.2355055757
460	0.7928494822	0.2354755112
461	0.7929268014	0.2354389096
462	0.7929776905	0.2354129017
463	0.7930282051	0.235389941
464	0.7930755958	0.2353696368
465	0.7931116507	0.2353520144
466	0.7931729227	0.2353208282
467	0.7931877782	0.2353039302
468	0.7932468086	0.2352785041
469	0.793287038	0.2352576906
470	0.7933155753	0.2352433011
471	0.7933831066	0.2352173994
472	0.7934218627	0.2351932651
473	0.7934643833	0.2351721081
474	0.79351804	0.2351481765
475	0.7935550984	0.2351266628
476	0.7936085869	0.2350990183
477	0.793641854	0.2350815757
478	0.7936797407	0.2350635279
479	0.7937032645	0.2350499122
480	0.7937319899	0.2350288645
481	0.7937610582	0.2350111373
482	0.7938020528	0.2349913015
483	0.7938288306	0.234975157
484	0.7938417403	0.2349642266
485	0.7938684694	0.2349480415
486	0.7939049839	0.234922309
487	0.7939316903	0.2349027842
488	0.7939677794	0.2348801506
489	0.7940428836	0.2348482562
490	0.794076388	0.2348280072
491	0.7940985418	0.2348106083
492	0.7941249977	0.2347956998
493	0.7941576512	0.2347750444
494	0.7941903949	0.2347540689
495	0.7942170511	0.2347372222
496	0.7942733175	0.2347094002
497	0.7943385845	0.2346813376
498	0.7943917094	0.2346564363
499	0.7944522131	0.2346336027
500	0.7945134621	0.2346035275
501	0.7945460784	0.2345857419
502	0.7946235964	0.2345545434
503	0.7946475871	0.2345394602
504	0.7946926342	0.2345165067
505	0.794739993	0.2344920623
506	0.7947904334	0.2344680263
507	0.7948362044	0.234447361
508	0.7948823303	0.2344258769
509	0.794915217	0.2344108295
510	0.7949551711	0.2343912539
511	0.795009001	0.2343714151
512	0.7950522301	0.2343516742
